English;Spanish;German;Japanese;Chinese (Simplified);Chinese (Traditional);Korean;Portuguese;French;Italian;Dutch;Swedish;Norwegian;Danish;Hindi;Urdu;Russian;Arabic;Category
Be careful.;Ten cuidado.;Vorsichtig sein.;気をつけて。;当心。;當心。;조심하세요.;Tome cuidado.;Faire attention.;Stai attento.;Wees voorzichtig.;Var försiktig.;Vær forsiktig.;Vær forsigtig.;ध्यान से।;محتاط رہیں.;Будь осторожен.;احرص.;Everyday Lingo
Be careful driving.;Conduce con cuidado.;Fahre vorsichtig.;運転には気をつけてください。;小心驾驶。;小心駕駛。;운전 조심하세요.;Tenha cuidado ao dirigir.;Conduisez prudemment.;Stai attento alla guida.;Wees voorzichtig met rijden.;Var försiktig när du kör.;Vær forsiktig kjøring.;Vær forsigtig med at køre.;सावधानी से चलना।;ڈرائیونگ میں محتاط رہیں۔;Будьте осторожны за рулем.;كن حذر وقت القيادة.;Everyday Lingo
Can you translate this for me?;¿Puedes traducir esto por mi?;Können Sie mir das übersetzen?;これを翻訳してもらえますか？;你能帮我翻译一下吗？;你能幫我翻譯一下嗎？;저를 위해 이것을 번역해 주시겠습니까?;Você pode traduzir isso para mim?;Pouvez-vous me traduire cela ?;Puoi tradurre questo per me?;Kun je dit voor me vertalen?;Kan du översätta detta åt mig?;Kan du oversette dette for meg?;Kan du oversætte dette for mig?;क्या आप मेरे लिए इसका अनुवाद कर सकते हैं?;کیا آپ میرے لیے اس کا ترجمہ کر سکتے ہیں؟;Вы можете перевести это для меня?;هل يمكنك ترجمة هذا لي؟;Everyday Lingo
Chicago is very different from Boston.;Chicago es muy diferente de Boston.;Chicago unterscheidet sich sehr von Boston.;シカゴはボストンとは大きく異なります。;芝加哥与波士顿截然不同。;芝加哥與波士頓截然不同。;시카고는 보스턴과 매우 다릅니다.;Chicago é muito diferente de Boston.;Chicago est très différente de Boston.;Chicago è molto diversa da Boston.;Chicago is heel anders dan Boston.;Chicago är väldigt annorlunda från Boston.;Chicago er veldig forskjellig fra Boston.;Chicago er meget anderledes end Boston.;शिकागो बोस्टन से बहुत अलग है।;شکاگو بوسٹن سے بہت مختلف ہے۔;Чикаго сильно отличается от Бостона.;شيكاغو مختلفة جدا عن بوسطن.;Everyday Lingo
Don't worry.;No te preocupes.;Mach dir keine Sorge.;心配しないで。;不用担心。;不用擔心。;괜찮아요.;Não se preocupe.;Ne t'inquiète pas.;Non preoccuparti.;Maak je geen zorgen.;Oroa dig inte.;Ikke bekymre deg.;Bare rolig.;चिंता मत करो।;فکر نہ کرو۔;Не волнуйся.;لا تقلق.;Everyday Lingo
Everyone knows it.;Todos lo saben.;Jeder weiß es.;誰もがそれを知っています。;每个人都知道。;每個人都知道。;누구나 알고 있습니다.;Todo mundo sabe disso.;Tout le monde le sait.;Lo sanno tutti.;Iedereen weet het.;Alla vet det.;Alle vet det.;Alle ved det.;हर कोई इसे जानता है।;یہ سب جانتے ہیں۔;Все это знают.;الجميع يعرف ذلك.;Everyday Lingo
Everything is ready.;Todo está listo.;Alles ist bereit.;すべての準備が整いました。;一切都准备好了。;一切都準備好了。;다 준비 됐어.;Tudo está pronto.;Tout est prêt.;È tutto pronto.;Alles is klaar.;Allt är klart.;Alt er klart.;Alting er klar.;सभी कुछ तैयार है।;ہر چیز تیار ہے.;Все готово.;كل شيء جاهز.;Everyday Lingo
Excellent.;Excelente.;Exzellent.;素晴らしい。;出色的。;出色的。;훌륭한.;Excelente.;Excellent.;Eccellente.;Uitstekend.;Excellent.;Utmerket.;Fremragende.;उत्कृष्ट।;بہترین;Отличный.;ممتاز.;Everyday Lingo
From time to time.;De vez en cuando.;Von Zeit zu Zeit.;時々。;时。;時。;때때로.;De tempos em tempos.;De temps en temps.;Di volta in volta.;Van tijd tot tijd.;Då och då.;Fra tid til annen.;Fra tid til anden.;समय - समय पर।;وقت سے وقت تک.;Временами.;من وقت لآخر.;Everyday Lingo
Good idea.;Buena idea.;Gute Idee.;良いアイデア。;好主意。;好主意。;좋은 생각.;Boa ideia.;Bonne idée.;Buona idea.;Goed idee.;Bra idé.;God idé.;God ide.;अच्छा विचार।;اچھا خیال ہے۔;Хорошая идея.;فكره جيده.;Everyday Lingo
He likes it very much.;A él le gusta mucho.;Er mag es sehr.;彼はそれがとても好きです。;他非常喜欢。;他非常喜歡。;그는 그것을 아주 좋아합니다.;Ele gosta muito disso.;Il l'aime beaucoup.;Gli piace molto.;Hij vindt het erg leuk.;Han gillar det väldigt mycket.;Han liker det veldig godt.;Han kan meget godt lide det.;उसे यह बहुत पसंद है।;اسے یہ بہت پسند ہے۔;Ему это очень нравится.;إنه يحب ذلك كثيرا.;Everyday Lingo
Help!;¡Ayuda!;Hilfe!;ヘルプ！;帮助！;幫助！;돕다!;Ajuda!;Aider!;Aiuto!;Hulp!;Hjälp!;Hjelp!;Hjælp!;मदद करना!;مدد!;Помощь!;يساعد!;Everyday Lingo
He's coming soon.;Él viene pronto.;Er kommt bald.;彼はもうすぐ来る。;他快来了。;他快來了。;그가 곧 온다.;Ele está vindo em breve.;Il vient bientôt.;Arriverà presto.;Hij komt eraan.;Han kommer snart.;Han kommer snart.;Han kommer snart.;वह जल्दी आ रहा है।;وہ جلد آرہا ہے۔;Он скоро придет.;انه قادم قريبا.;Everyday Lingo
He's right.;El tiene razón.;Er hat recht.;彼は正しい。;他是对的。;他是對的。;그가 맞아.;Ele tem razão.;Il a raison.;Ha ragione.;Hij heeft gelijk.;Han har rätt.;Han har rett.;Han har ret.;वह सही है।;وہ ٹھیک کہہ رہا ہے۔;Он прав.;إنه على حق.;Everyday Lingo
He's very annoying.;Es muy molesto.;Er ist sehr nervig.;彼はとてもうるさいです。;他很烦人。;他很煩人。;그는 매우 성가시다.;Ele é muito chato.;Il est très ennuyeux.;È molto fastidioso.;Hij is erg vervelend.;Han är väldigt irriterande.;Han er veldig irriterende.;Han er meget irriterende.;वह बहुत परेशान करने वाला है।;وہ بہت پریشان کن ہے۔;Он очень раздражает.;إنه مزعج للغاية.;Everyday Lingo
He's very famous.;Es muy famoso.;Er ist sehr berühmt.;彼はとても有名です。;他很有名。;他很有名。;그는 매우 유명합니다.;Ele é muito famoso.;Il est très célèbre.;È molto famoso.;Hij is erg beroemd.;Han är väldigt känd.;Han er veldig kjent.;Han er meget berømt.;वह बहुत प्रसिद्ध है।;وہ بہت مشہور ہے۔;Он очень известен.;إنه مشهور جدا.;Everyday Lingo
How are you?;¿Cómo estás?;Wie geht es dir?;元気ですか？;你好吗？;你好嗎？;어떻게 지내세요?;Como vai você?;Comment allez-vous?;Come stai?;Hoe is het met je?;Hur mår du?;Hvordan har du det?;Hvordan har du det?;आप कैसे हैं?;آپ کیسے ہو؟;Как вы?;كيف حالك؟;Everyday Lingo
How's work going?;¿Cómo va el trabajo?;Wie ist die Arbeit?;仕事はどうですか？;工作进展如何？;工作進展如何？;일은 어때?;Como anda o trabalho?;Comment va le travail ?;Come sta andando il lavoro?;Hoe gaat het met je werk?;Hur går arbetet?;Hvordan går det med jobben?;Hvordan går det med arbejdet?;काम कैसे चल रहा है?;کام کیسا چل رہا ہے؟;Как продвигается работа?;كيف يجري العمل؟;Everyday Lingo
Hurry!;¡Apurarse!;Sich beeilen!;忙しい！;匆忙！;匆忙！;서두르다!;Pressa!;Hâte!;Fretta!;Haast je!;Skynda!;Skynde deg!;Skynde sig!;जल्दी करो!;جلدی کرو!;Торопиться!;عجل!;Everyday Lingo
I ate already.;Ya comí.;Ich habe schon gegessen.;私はすでに食べた。;我已经吃了。;我已經吃了。;나는 이미 먹었다.;Eu já comi.;J'ai déjà mangé.;Ho già mangiato.;Ik heb al gegeten.;Jag åt redan.;Jeg har allerede spist.;Jeg har allerede spist.;मैंने पहले ही खा लिया है।;میں پہلے ہی کھا چکا ہوں۔;Я уже поел.;لقد أكلت بالفعل.;Everyday Lingo
I can't hear you.;No puedo oírte.;Ich kann dich nicht hören.;聞こえません。;我听不见你。;我聽不見你。;나는 당신을들을 수 없습니다.;Eu não posso ouvir você.;Je ne peux pas t'entendre.;Non riesco a sentirti.;Ik kan je niet horen.;Jag kan inte höra dig.;Jeg kan ikke høre deg.;Jeg kan ikke høre dig.;मैं आपको सुन नहीं सकता।;میں آپ کو سن نہیں سکتا;Я не слышу тебя.;لا أستطيع أن أسمعك.;Everyday Lingo
I'd like to go for a walk.;Me gustaría ir a dar un paseo.;Ich möchte spazieren gehen.;散歩に行きたいです。;我想去散散步。;我想去散散步。;나는 산책하러 가고 싶다.;Eu gostaria de dar um passeio.;J'aimerais faire une promenade.;Vorrei fare una passeggiata.;Ik wil graag gaan wandelen.;Jag skulle vilja gå en promenad.;Jeg vil gjerne gå en tur.;Jeg vil gerne gå en tur.;मैं टहलने जाना चाहता हूँ।;میں سیر کے لیے جانا چاہتا ہوں۔;Я хотел бы пойти на прогулку.;أود الذهاب في نزهة على الأقدام.;Everyday Lingo
I don't know how to use it.;No sé cómo usarlo.;Ich weiß nicht, wie ich es benutzen soll.;使い方がわかりません。;我不知道如何使用它。;我不知道如何使用它。;나는 그것을 사용하는 방법을 모른다.;Eu não sei como usá-lo.;Je ne sais pas comment l'utiliser.;Non so come usarlo.;Ik weet niet hoe ik het moet gebruiken.;Jag vet inte hur man använder den.;Jeg vet ikke hvordan jeg skal bruke det.;Jeg ved ikke, hvordan man bruger det.;मुझे नहीं पता कि इसका इस्तेमाल कैसे करना है।;میں اسے استعمال کرنے کا طریقہ نہیں جانتا ہوں۔;Я не знаю, как это использовать.;لا أعرف كيف أستخدمه.;Everyday Lingo
I don't like him.;no me gusta;Ich mag ihn nicht.;私は彼が好きではありません。;我不喜欢他。;我不喜歡他。;나는 그를 좋아하지 않는다.;Eu não gosto dele.;Je ne l'aime pas.;Non mi piace.;Ik mag hem niet.;Jag gillar honom inte.;Jeg liker ham ikke.;Jeg kan ikke lide ham.;मुझे वह पसंद नहीं है।;میں اسے پسند نہیں کرتا۔;Он мне не нравится.;أنا لا أحبه.;Everyday Lingo
I don't like it.;no me gusta;Ich mag es nicht.;私はそれが気に入りません。;我不喜欢它。;我不喜歡它。;나는 그것을 좋아하지 않는다.;Eu não gosto disso.;Je n'aime pas ça.;non mi piace.;Ik vind het niet leuk.;Jag gillar det inte.;Jeg liker det ikke.;Jeg kan ikke lide det.;मुझे यह पसंद नहीं है।;مجھے یہ پسند نہیں ہے۔;Мне это не нравится.;أنا لا أحب ذلك.;Everyday Lingo
I don't speak very well.;no hablo muy bien;Ich spreche nicht sehr gut.;私はあまりうまく話せません。;我不太会说话。;我不太會說話。;나는 말을 잘 못한다.;Eu não falo muito bem.;Je ne parle pas très bien.;Non parlo molto bene.;Ik spreek niet zo goed.;Jag pratar inte så bra.;Jeg snakker ikke så godt.;Jeg taler ikke særlig godt.;मैं बहुत अच्छा नहीं बोलता।;میں بہت اچھا نہیں بولتا۔;Я не очень хорошо говорю.;أنا لا أتحدث جيداً.;Everyday Lingo
I don't understand.;No entiendo.;Ich verstehe nicht.;理解できない。;我不明白。;我不明白。;모르겠어요.;Eu não entendo.;Je ne comprends pas.;Non capisco.;Ik begrijp het niet.;jag förstår inte.;Jeg forstår ikke.;Jeg forstår det ikke.;मुझे समझ नहीं आया।;میں سمجھا نہیں;Я не понимаю.;لا أفهم.;Everyday Lingo
I don't want it.;no lo quiero;Ich will es nicht.;私はそれをしたくありません。;我不想要它。;我不想要它。;나는 그것을 원하지 않는다.;Eu não quero isso.;Je ne le veux pas.;Non lo voglio.;Ik wil het niet.;Jag vill inte ha det.;Jeg vil ikke ha det.;Jeg vil ikke have det.;मुझे यह नहीं चाहिए।;مجھے یہ نہیں چاہیے;Я не хочу этого.;لا اريدها.;Everyday Lingo
I don't want that.;no quiero eso;Ich will das nicht.;私はそれをしたくありません。;我不想要那个。;我不想要那個。;나는 그것을 원하지 않는다.;Eu não quero isso.;Je ne veux pas ça.;Non lo voglio.;Dat wil ik niet.;Det vill jag inte.;Det vil jeg ikke.;Det vil jeg ikke.;मुझे वह नहीं चाहिए।;میں یہ نہیں چاہتا۔;Я не хочу этого.;لا اريد ذلك.;Everyday Lingo
